Trip_ID,Route_ID,Route_Name,Route_Description,Origin,Destination,Representative_Stop,Latitude,Longitude,Date,Hour,Minute,Weekday,Is_Weekend,Month,Season,Peak_Hour,Weather,Temperature_C,Rainfall_mm,Humidity_pct,Traffic_Level,Traffic_Index,Distance_km_Proxy,Scheduled_Arrival,Actual_Arrival_Simulated,Delay_Minutes,Delay_Severity,Passenger_Count_Simulated,Passenger_Disruption_Score,Transport_Data_Source,Transport_Data_Status,Weather_Data_Status,Traffic_Data_Status,Delay_Data_Status,Passenger_Data_Status,Representative_Coordinate_Note
CHN100000,17501,3,Thiyagaraya Nagar TO Saidapet Depot,Thiyagaraya Nagar,Saidapet Depot,Trustpuram,13.05284,80.22151,2025-05-07,6,10,Wednesday,0,5,Summer,0,Clear,32.0,0.0,66.3,Moderate,51.2,24.69,06:10,2025-05-07 06:11,1.5,On Time,33,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100001,21354,A54C R1,Poonamallee TO  Avadi,Poonamallee,Avadi,Thozuvur,13.13225,79.95873,2025-07-09,11,40,Wednesday,0,7,Southwest_Monsoon,0,Clear,35.5,0.0,76.1,Low,31.9,25.38,11:40,2025-07-09 11:40,0.0,On Time,33,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100002,12414,597A,Thiruvallur TO Iyyappanthangal,Thiruvallur,Iyyappanthangal,Anthiur Palayam,13.15358,80.01367,2026-04-16,17,0,Thursday,0,4,Summer,1,Clear,31.4,0.0,67.0,High,86.0,21.37,17:00,2026-04-16 17:12,12.4,Moderate,45,22.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100003,22542,60E R,Royapuram terminus TO Kundrathur Bus Terminus,Royapuram terminus,Kundrathur Bus Terminus,Advent Christian Church Sembakkam,12.92291,80.16262,2025-02-26,12,45,Wednesday,0,2,Winter,0,Clear,29.3,0.0,63.3,Moderate,22.1,22.86,12:45,2025-02-26 12:49,4.2,On Time,26,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100004,22228,120Ct R1,Venkatachalam Nagar TO  Royapuram,Venkatachalam Nagar,Royapuram,Thiruninravur Ramar Kovil,13.11167,80.02547,2025-03-01,8,0,Saturday,1,3,Summer,0,Clear,29.6,0.0,70.8,Moderate,38.8,13.59,08:00,2025-03-01 08:10,10.4,Moderate,29,14.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100005,23915,18K R1,Saidapet West TO  Royapuram terminus,Saidapet West,Royapuram terminus,Chinna Valarpuram,13.01823,79.97852,2025-06-14,22,20,Saturday,1,6,Southwest_Monsoon,0,Rainy,33.8,6.34,80.2,Moderate,52.4,18.43,22:20,2025-06-14 22:31,11.1,Moderate,45,22.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100006,18116,104,Ambattur Industrial TO Redhills Bus Terminus,Ambattur Industrial,Redhills Bus Terminus,Payyanur,12.64097,80.17284,2025-11-26,8,15,Wednesday,0,11,Northeast_Monsoon,1,Cloudy,25.9,0.0,62.7,Very High,100.0,18.34,08:15,2025-11-26 08:32,17.5,Severe,77,77.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100007,21636,66K R,Kilambakkam B.T TO Kundrathur B.T,Kilambakkam B.T,Kundrathur B.T,Kalaivani Nagar 1st Street,12.8247,80.0555,2026-03-17,6,10,Tuesday,0,3,Summer,0,Clear,28.9,0.0,62.5,Moderate,46.6,27.33,06:10,2026-03-17 06:16,6.4,Moderate,31,15.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100008,18958,5E,Vadapalani TO Besant Nagar,Vadapalani,Besant Nagar,Thinathanthi,13.0805,80.26341,2025-11-04,11,30,Tuesday,0,11,Northeast_Monsoon,0,Rainy,23.7,9.04,84.9,Moderate,41.3,11.1,11:30,2025-11-04 11:35,5.9,Moderate,35,17.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100009,21376,102K CT19,Broadway TO Perumpakkam S.C.B,Broadway,Perumpakkam S.C.B,Pattabiram,13.1209,80.06493,2025-09-27,7,15,Saturday,1,9,Southwest_Monsoon,0,Rainy,29.8,5.72,91.4,Moderate,55.5,25.1,07:15,2025-09-27 07:25,10.0,Moderate,40,20.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
